compiler,lang,size,ms
"ldc2","D",1000000,693
"ldc2","D",1500000,1049
"ldc2","D",3000000,2232
"ldc2","D",6000000,4491
"crystal","Crystal",1000000,821
"crystal","Crystal",1500000,1389
"crystal","Crystal",3000000,2891
"crystal","Crystal",6000000,5454
"nim","Nim",1000000,1149
"nim","Nim",1500000,1795
"nim","Nim",3000000,3456
"nim","Nim",6000000,7260
"node","Javascript",1000000,1634
"node","Javascript",1500000,2227
"node","Javascript",3000000,4509
"node","Javascript",6000000,10172
"dmd","D",1000000,1927
"dmd","D",1500000,2800
"dmd","D",3000000,6002
"dmd","D",6000000,12206
"scala","Scala",1000000,1678
"scala","Scala",1500000,3128
"scala","Scala",3000000,6522
"scala","Scala",6000000,22633
"julia","julia",1000000,3378
"julia","julia",1500000,5246
"julia","julia",3000000,10357
"julia","julia",6000000,22813
"python3","Python",1000000,5316
"python3","Python",1500000,8382
"python3","Python",3000000,19206
"python3","Python",6000000,41887
